

Time (sec), Load (N), Stress (KPa), Strain (mm), Position (mm), Cycle
7.240, 0.37, 1, , 0.516, 1
7.260, 0.38, 1, , 0.518, 1
7.280, 0.35, 1, , 0.520, 1
7.300, 0.37, 1, , 0.521, 1
7.320, 0.36, 1, , 0.523, 1
7.340, 0.38, 1, , 0.525, 1
7.360, 0.37, 1, , 0.527, 1
7.380, 0.38, 1, , 0.528, 1
7.400, 0.36, 1, , 0.530, 1
7.420, 0.36, 1, , 0.531, 1
7.440, 0.36, 1, , 0.532, 1
7.460, 0.38, 1, , 0.535, 1
7.480, 0.35, 1, , 0.536, 1
7.500, 0.38, 1, , 0.538, 1
7.520, 0.35, 1, , 0.540, 1
7.540, 0.39, 1, , 0.541, 1
7.560, 0.37, 1, , 0.543, 1
7.580, 0.37, 1, , 0.545, 1
7.600, 0.35, 1, , 0.546, 1
7.620, 0.39, 1, , 0.548, 1
7.640, 0.40, 1, , 0.550, 1
7.660, 0.38, 1, , 0.552, 1
7.680, 0.38, 1, , 0.553, 1
7.700, 0.39, 1, , 0.555, 1
7.720, 0.35, 1, , 0.556, 1
7.740, 0.39, 1, , 0.558, 1
7.760, 0.40, 1, , 0.560, 1
7.780, 0.37, 1, , 0.561, 1
7.800, 0.39, 1, , 0.563, 1
7.820, 0.35, 1, , 0.565, 1
7.840, 0.38, 1, , 0.566, 1
7.860, 0.40, 1, , 0.568, 1
7.880, 0.36, 1, , 0.570, 1
7.900, 0.39, 1, , 0.571, 1
7.920, 0.39, 1, , 0.573, 1
7.940, 0.37, 1, , 0.575, 1
7.960, 0.37, 1, , 0.577, 1
7.980, 0.38, 1, , 0.578, 1
8.000, 0.40, 1, , 0.580, 1
8.020, 0.36, 1, , 0.581, 1
8.040, 0.38, 1, , 0.582, 1
8.060, 0.37, 1, , 0.584, 1
8.080, 0.40, 1, , 0.587, 1
8.100, 0.36, 1, , 0.588, 1
8.120, 0.39, 1, , 0.590, 1
8.140, 0.37, 1, , 0.592, 1
