lambda,sigma_c_data_MPa,sigma_c_fit_MPa
1.8900695,0.8346774218404991,0.8764657180551825
1.893405,0.8386024727683377,0.8794711074165431
1.896735,0.8400773533323579,0.8824749113863068
1.9000675,0.844014023448174,0.8854843557330541
1.903397,0.8479579885802497,0.888494486682718
1.9067310000000002,0.8494432761655126,0.8915121008223867
1.9100655,0.8534024166926756,0.8945335989988207
1.913402,0.8548931389549724,0.8975603577319786
1.9167355000000001,0.8588647890169407,0.9005878529548804
1.9200705,0.8603591600824171,0.9036201824306114
1.9234,0.8643419657044878,0.9066509882198862
1.926732,0.8658393076145052,0.9096875608189869
1.9300625,0.8698355027578089,0.9127262692053074
1.933398,0.8713387371450106,0.9157730620847486
1.93673,0.8753485562135848,0.9188201900843828
1.9400695,0.8768579181295334,0.9218777315659998
1.9434040000000001,0.8808818253987784,0.924934258229056
1.946734,0.8849123238246451,0.9279902253381591
1.9500655,0.8864266988788754,0.9310511463589894
1.9533960000000001,0.8904703647249121,0.9341147370573465
1.9567299999999999,0.8919901938819251,0.9371851526643832
1.9600645,0.8960486323625207,0.9402596485732067
1.9634010000000002,0.8975739220975665,0.9433396235279454
1.9667355,0.9016453182002432,0.946421396584967
1.9700685,0.9031733243025185,0.9495054355109261
1.9734,0.9072562942664255,0.9525917466538123
1.9767329999999999,0.9087886167701196,0.9556831203998387
1.9800624999999998,0.9128836099775828,0.9587749269762065
1.983397,0.9169895385866604,0.9618750730322838
1.986731,0.9185309562260175,0.9649784634867556
1.9900695000000002,0.9226516937310519,0.9680897699911322
1.993404,0.9241976608808152,0.9712010825388241
1.9967385,0.92832950408653,0.97431613728932
2.0000655,0.9298763026583489,0.9774279256718513
2.00013,0.9299062901870181,0.9774882903839162
2.000603,0.9275353179541838,0.9779310079686703
