

Time (sec), Load (N), Stress (KPa), Strain (mm), Position (mm), Cycle
5.080, 3.73, N/A, , 0.410, 1
5.100, 3.75, N/A, , 0.411, 1
5.120, 3.78, N/A, , 0.413, 1
5.140, 3.81, N/A, , 0.415, 1
5.160, 3.82, N/A, , 0.417, 1
5.180, 3.82, N/A, , 0.418, 1
5.200, 3.86, N/A, , 0.420, 1
5.220, 3.88, N/A, , 0.421, 1
5.240, 3.86, N/A, , 0.422, 1
5.260, 3.90, N/A, , 0.424, 1
5.280, 3.91, N/A, , 0.426, 1
5.300, 3.93, N/A, , 0.427, 1
5.320, 3.95, N/A, , 0.429, 1
5.340, 3.98, N/A, , 0.432, 1
5.360, 4.00, N/A, , 0.433, 1
5.380, 3.99, N/A, , 0.434, 1
5.400, 4.01, N/A, , 0.437, 1
5.420, 4.03, N/A, , 0.439, 1
5.440, 4.06, N/A, , 0.439, 1
5.460, 4.06, N/A, , 0.441, 1
5.480, 4.08, N/A, , 0.443, 1
5.500, 4.09, N/A, , 0.444, 1
5.520, 4.09, N/A, , 0.445, 1
5.540, 4.11, N/A, , 0.447, 1
5.560, 4.17, N/A, , 0.449, 1
5.580, 4.16, N/A, , 0.451, 1
5.600, 4.19, N/A, , 0.453, 1
5.620, 4.22, N/A, , 0.455, 1
5.640, 4.21, N/A, , 0.455, 1
5.660, 4.22, N/A, , 0.457, 1
5.680, 4.23, N/A, , 0.460, 1
5.700, 4.27, N/A, , 0.461, 1
5.720, 4.29, N/A, , 0.462, 1
5.740, 4.31, N/A, , 0.464, 1
5.760, 4.33, N/A, , 0.466, 1
5.780, 4.32, N/A, , 0.467, 1
5.800, 4.33, N/A, , 0.469, 1
5.820, 4.36, N/A, , 0.471, 1
5.840, 4.38, N/A, , 0.472, 1
5.860, 4.40, N/A, , 0.474, 1
5.880, 4.42, N/A, , 0.476, 1
5.900, 4.44, N/A, , 0.477, 1
5.920, 4.45, N/A, , 0.479, 1
5.940, 4.49, N/A, , 0.481, 1
5.960, 4.50, N/A, , 0.483, 1
5.980, 4.52, N/A, , 0.484, 1
6.000, 4.52, N/A, , 0.486, 1
6.020, 4.55, N/A, , 0.487, 1
6.040, 4.56, N/A, , 0.488, 1
6.060, 4.57, N/A, , 0.490, 1
6.080, 4.58, N/A, , 0.492, 1
6.100, 4.58, N/A, , 0.493, 1
6.120, 4.62, N/A, , 0.495, 1
6.140, 4.64, N/A, , 0.498, 1
6.160, 4.64, N/A, , 0.499, 1
6.180, 4.68, N/A, , 0.501, 1
6.200, 4.70, N/A, , 0.503, 1
6.220, 4.74, N/A, , 0.505, 1
6.240, 4.75, N/A, , 0.506, 1
6.260, 4.75, N/A, , 0.508, 1
6.280, 4.77, N/A, , 0.510, 1
6.300, 4.78, N/A, , 0.511, 1
6.320, 4.78, N/A, , 0.513, 1
6.340, 4.83, N/A, , 0.515, 1
6.360, 4.85, N/A, , 0.516, 1
6.380, 4.84, N/A, , 0.518, 1
6.400, 4.89, N/A, , 0.520, 1
6.420, 4.91, N/A, , 0.521, 1
6.440, 4.91, N/A, , 0.523, 1
6.460, 4.94, N/A, , 0.525, 1
6.480, 4.96, N/A, , 0.527, 1
6.500, 4.97, N/A, , 0.528, 1
6.520, 4.99, N/A, , 0.529, 1
6.540, 5.00, N/A, , 0.531, 1
6.560, 5.01, N/A, , 0.532, 1
6.580, 5.01, N/A, , 0.534, 1
6.600, 5.06, N/A, , 0.536, 1
6.620, 5.06, N/A, , 0.538, 1
6.640, 5.07, N/A, , 0.539, 1
6.660, 5.09, N/A, , 0.541, 1
6.680, 5.14, N/A, , 0.543, 1
6.700, 5.13, N/A, , 0.544, 1
6.720, 5.15, N/A, , 0.546, 1
6.740, 5.18, N/A, , 0.548, 1
6.760, 5.20, N/A, , 0.550, 1
6.780, 5.22, N/A, , 0.551, 1
6.800, 5.24, N/A, , 0.553, 1
6.820, 5.25, N/A, , 0.554, 1
6.840, 5.26, N/A, , 0.555, 1
6.860, 5.27, N/A, , 0.557, 1
6.880, 5.29, N/A, , 0.559, 1
6.900, 5.34, N/A, , 0.561, 1
6.920, 5.33, N/A, , 0.563, 1
6.940, 5.37, N/A, , 0.565, 1
6.960, 5.38, N/A, , 0.566, 1
6.980, 5.39, N/A, , 0.568, 1
7.000, 5.42, N/A, , 0.570, 1
7.020, 5.46, N/A, , 0.572, 1
7.040, 5.45, N/A, , 0.572, 1
7.060, 5.46, N/A, , 0.574, 1
7.080, 5.48, N/A, , 0.576, 1
7.100, 5.50, N/A, , 0.577, 1
7.120, 5.49, N/A, , 0.579, 1
7.140, 5.52, N/A, , 0.581, 1
7.160, 5.55, N/A, , 0.583, 1
7.180, 5.56, N/A, , 0.584, 1
7.200, 5.58, N/A, , 0.585, 1
7.220, 5.60, N/A, , 0.587, 1
7.240, 5.63, N/A, , 0.589, 1
7.260, 5.63, N/A, , 0.591, 1
7.280, 5.64, N/A, , 0.592, 1
7.300, 5.67, N/A, , 0.594, 1
7.320, 5.67, N/A, , 0.595, 1
7.340, 5.70, N/A, , 0.597, 1
7.360, 5.73, N/A, , 0.599, 1
7.380, 5.74, N/A, , 0.600, 1
7.400, 5.76, N/A, , 0.602, 1
7.420, 5.79, N/A, , 0.605, 1
7.440, 5.82, N/A, , 0.607, 1
7.460, 5.84, N/A, , 0.608, 1
7.480, 5.83, N/A, , 0.610, 1
7.500, 5.88, N/A, , 0.612, 1
7.520, 5.90, N/A, , 0.614, 1
7.540, 5.91, N/A, , 0.615, 1
7.560, 5.91, N/A, , 0.616, 1
7.580, 5.92, N/A, , 0.618, 1
7.600, 5.94, N/A, , 0.620, 1
7.620, 5.95, N/A, , 0.621, 1
7.640, 5.97, N/A, , 0.622, 1
7.660, 5.98, N/A, , 0.624, 1
7.680, 6.03, N/A, , 0.626, 1
7.700, 6.02, N/A, , 0.627, 1
7.720, 6.04, N/A, , 0.629, 1
7.740, 6.06, N/A, , 0.631, 1
7.760, 6.08, N/A, , 0.632, 1
7.780, 6.09, N/A, , 0.633, 1
7.800, 6.10, N/A, , 0.636, 1
7.820, 6.15, N/A, , 0.638, 1
7.840, 6.15, N/A, , 0.639, 1
7.860, 6.16, N/A, , 0.640, 1
7.880, 6.18, N/A, , 0.642, 1
7.900, 6.20, N/A, , 0.644, 1
7.920, 6.21, N/A, , 0.645, 1
7.940, 6.26, N/A, , 0.647, 1
7.960, 6.26, N/A, , 0.649, 1
7.980, 6.28, N/A, , 0.650, 1
8.000, 6.32, N/A, , 0.653, 1
8.020, 6.33, N/A, , 0.655, 1
8.040, 6.34, N/A, , 0.656, 1
8.060, 6.37, N/A, , 0.658, 1
8.080, 6.40, N/A, , 0.660, 1
8.100, 6.41, N/A, , 0.661, 1
8.120, 6.44, N/A, , 0.663, 1
8.140, 6.46, N/A, , 0.665, 1
8.160, 6.44, N/A, , 0.665, 1
8.180, 6.46, N/A, , 0.667, 1
8.200, 6.46, N/A, , 0.669, 1
8.220, 6.51, N/A, , 0.671, 1
8.240, 6.54, N/A, , 0.673, 1
8.260, 6.57, N/A, , 0.675, 1
8.280, 6.57, N/A, , 0.676, 1
8.300, 6.59, N/A, , 0.677, 1
8.320, 6.59, N/A, , 0.680, 1
8.340, 6.62, N/A, , 0.682, 1
8.360, 6.64, N/A, , 0.683, 1
8.380, 6.64, N/A, , 0.684, 1
8.400, 6.67, N/A, , 0.686, 1
8.420, 6.70, N/A, , 0.687, 1
8.440, 6.71, N/A, , 0.689, 1
8.460, 6.75, N/A, , 0.691, 1
8.480, 6.75, N/A, , 0.693, 1
8.500, 6.79, N/A, , 0.695, 1
8.520, 6.83, N/A, , 0.697, 1
8.540, 6.85, N/A, , 0.699, 1
8.560, 6.81, N/A, , 0.699, 1
8.580, 6.83, N/A, , 0.701, 1
8.600, 6.91, N/A, , 0.703, 1
